date,address,species,block,street,trap,addressnumberandstreet,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,tmax_avg,tmin_avg,tavg_avg,dewpoint_avg,wetbulb_avg,heat_avg,cool_avg,preciptotal_avg,sealevel_avg,resultspeed_avg,resultdir_avg,avgspeed_avg,stnpressure_avg,tmax_stn1,tmin_stn1,tavg_stn1,depart_stn1,dewpoint_stn1,wetbulb_stn1,heat_stn1,cool_stn1,sunrise_stn1,sunset_stn1,depth_stn1,snowfall_stn1,preciptotal_stn1,stnpressure_stn1,sealevel_stn1,resultspeed_stn1,resultdir_stn1,avgspeed_stn1,tmax_stn2,tmin_stn2,tavg_stn2,dewpoint_stn2,wetbulb_stn2,heat_stn2,cool_stn2,preciptotal_stn2,stnpressure_stn2,sealevel_stn2,resultspeed_stn2,resultdir_stn2,avgspeed_stn2,year,month,day
29/5/2007,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
